image_file,mask_file,curated_keep,status,reason,review_records,review_actions,gt_reliable_values,prediction_plausible_values
15_242_208_18_23_jpg.rf.b0029b4cb0ea1cceca909f81cd90b62e.jpg,15_242_208_18_23_jpg.rf.b0029b4cb0ea1cceca909f81cd90b62e.npz,False,label_problem,manual_label_fix_needed,1,label_problem,N,Y
15_242_208_18_9_jpg.rf.9802e96f8e362e037cf73954d90cf0ec.jpg,15_242_208_18_9_jpg.rf.9802e96f8e362e037cf73954d90cf0ec.npz,False,label_problem,manual_label_fix_needed,1,label_problem,N,Y
15_242_208_198_52_jpg.rf.9cef99188be2bec8e3a60bd7d6c47c42.jpg,15_242_208_198_52_jpg.rf.9cef99188be2bec8e3a60bd7d6c47c42.npz,False,excluded,manual_exclude_eval,1,exclude_eval,N,N
15_242_208_199_29_jpg.rf.d70ea5be159f32f2f775770b505bc235.jpg,15_242_208_199_29_jpg.rf.d70ea5be159f32f2f775770b505bc235.npz,False,excluded,manual_exclude_eval,2,exclude_eval|label_problem,N,N
15_242_208_19_13_jpg.rf.005876ff63ddc776ca366ff261023f6c.jpg,15_242_208_19_13_jpg.rf.005876ff63ddc776ca366ff261023f6c.npz,False,excluded,manual_exclude_eval,2,exclude_eval|label_problem,N,N
15_242_208_23_23_jpg.rf.79b8586dfa2203ece5169f67575f36c8.jpg,15_242_208_23_23_jpg.rf.79b8586dfa2203ece5169f67575f36c8.npz,False,label_problem,manual_label_fix_needed,1,label_problem,N,Y
15_242_208_26_27_jpg.rf.c48f7609d894e6a9afe0e6b0fd2c4651.jpg,15_242_208_26_27_jpg.rf.c48f7609d894e6a9afe0e6b0fd2c4651.npz,False,label_problem,manual_label_fix_needed,1,label_problem,Y,Y
15_242_208_27_15_jpg.rf.f39ff9403f3404fcf8abc9a8c784564c.jpg,15_242_208_27_15_jpg.rf.f39ff9403f3404fcf8abc9a8c784564c.npz,False,label_problem,manual_label_fix_needed,1,label_problem,N,Y
15_242_208_28_19_jpg.rf.b3e418c2ea0edd4fe810137d8855bbfd.jpg,15_242_208_28_19_jpg.rf.b3e418c2ea0edd4fe810137d8855bbfd.npz,False,label_problem,manual_label_fix_needed,1,label_problem,Y,Y
15_242_208_29_21_jpg.rf.cebe6cbe63df958bd61ac5779025873c.jpg,15_242_208_29_21_jpg.rf.cebe6cbe63df958bd61ac5779025873c.npz,False,label_problem,manual_label_fix_needed,1,label_problem,Y,Y
15_242_208_33_15_jpg.rf.4fae6a969fdbe99a2cc9544d797072ce.jpg,15_242_208_33_15_jpg.rf.4fae6a969fdbe99a2cc9544d797072ce.npz,False,excluded,manual_exclude_eval,2,exclude_eval|model_error,N|Y,N
15_242_208_37_20_jpg.rf.be36116b11a4033e93bfa949fdd0f1c1.jpg,15_242_208_37_20_jpg.rf.be36116b11a4033e93bfa949fdd0f1c1.npz,False,excluded,manual_exclude_eval,2,exclude_eval|model_error,N|Y,N
15_242_211_23_2_jpg.rf.27a52e732d953b33163bcab40ab58135.jpg,15_242_211_23_2_jpg.rf.27a52e732d953b33163bcab40ab58135.npz,False,label_problem,manual_label_fix_needed,1,label_problem,Y,Y
15_242_212_19_17_jpg.rf.ee63dbfeedda1f6be93416972ae99d1d.jpg,15_242_212_19_17_jpg.rf.ee63dbfeedda1f6be93416972ae99d1d.npz,False,label_problem,manual_label_fix_needed,1,label_problem,Y,Y
15_242_212_25_13_jpg.rf.b90b94b97df4bcf4cfa72ac1c7973873.jpg,15_242_212_25_13_jpg.rf.b90b94b97df4bcf4cfa72ac1c7973873.npz,False,label_problem,manual_label_fix_needed,1,label_problem,Y,Y
15_242_212_25_14_jpg.rf.b17fcf13f81341dc054581a3d964a591.jpg,15_242_212_25_14_jpg.rf.b17fcf13f81341dc054581a3d964a591.npz,False,excluded,manual_exclude_eval,2,exclude_eval|label_problem,N|Y,N|Y
16_224_603_158_53_jpg.rf.8e3c2bc3ca6bd504352849d9312bb3a1.jpg,16_224_603_158_53_jpg.rf.8e3c2bc3ca6bd504352849d9312bb3a1.npz,False,label_problem,manual_label_fix_needed,1,label_problem,N,N
16_224_604_89_44_jpg.rf.1c4655aa871631b74fb7b8095938d58d.jpg,16_224_604_89_44_jpg.rf.1c4655aa871631b74fb7b8095938d58d.npz,False,excluded,manual_exclude_eval,2,exclude_eval|label_problem,N,N|Y
16_224_604_89_60_jpg.rf.816dfc532ae7b75a7c11a02f5aa3a086.jpg,16_224_604_89_60_jpg.rf.816dfc532ae7b75a7c11a02f5aa3a086.npz,False,label_problem,manual_label_fix_needed,2,label_problem|model_error,N|Y,N|Y
16_224_604_90_12_jpg.rf.af7285b66502b1dc78bc7ba05ebef92c.jpg,16_224_604_90_12_jpg.rf.af7285b66502b1dc78bc7ba05ebef92c.npz,False,label_problem,manual_label_fix_needed,2,label_problem|model_error,Y,N
16_253_308_19_15_jpg.rf.89cbb1ce0a425c5dbe966db95ff03ce0.jpg,16_253_308_19_15_jpg.rf.89cbb1ce0a425c5dbe966db95ff03ce0.npz,False,label_problem,manual_label_fix_needed,1,label_problem,Y,Y
16_253_308_22_9_jpg.rf.61baf2c77bea3451155cf994f45da1ce.jpg,16_253_308_22_9_jpg.rf.61baf2c77bea3451155cf994f45da1ce.npz,False,label_problem,manual_label_fix_needed,1,label_problem,Y,Y
16_253_308_23_15_jpg.rf.29f0209fdf4639b52f9d236ecd950184.jpg,16_253_308_23_15_jpg.rf.29f0209fdf4639b52f9d236ecd950184.npz,False,label_problem,manual_label_fix_needed,1,label_problem,N,N
17_209_102_11_14_jpg.rf.3986c772b6029446f6a7275fc3cf37c0.jpg,17_209_102_11_14_jpg.rf.3986c772b6029446f6a7275fc3cf37c0.npz,False,excluded,manual_exclude_eval,1,exclude_eval,N,N
17_209_102_11_26_jpg.rf.f50aa16b394d2da49df557686ad790ff.jpg,17_209_102_11_26_jpg.rf.f50aa16b394d2da49df557686ad790ff.npz,False,excluded,manual_exclude_eval,2,exclude_eval,N,N
17_209_102_11_33_jpg.rf.c3385d79005679eae408cc54e580db0d.jpg,17_209_102_11_33_jpg.rf.c3385d79005679eae408cc54e580db0d.npz,False,excluded,manual_exclude_eval,2,exclude_eval,N,N
17_209_102_8_32_jpg.rf.85215ba036b56350f7579a10f57c8dac.jpg,17_209_102_8_32_jpg.rf.85215ba036b56350f7579a10f57c8dac.npz,False,excluded,manual_exclude_eval,2,exclude_eval|label_problem,N,N|Y
17_234_102_12_8_jpg.rf.73f970e38f2813c483f46126c6ab2274.jpg,17_234_102_12_8_jpg.rf.73f970e38f2813c483f46126c6ab2274.npz,False,excluded,manual_exclude_eval,2,exclude_eval,N,N
17_234_102_13_8_jpg.rf.10a0b87f022b4a46bbc1170f7b383e15.jpg,17_234_102_13_8_jpg.rf.10a0b87f022b4a46bbc1170f7b383e15.npz,False,excluded,manual_exclude_eval,1,exclude_eval,N,N
18_211_205_5_16_jpg.rf.bf75a638c36cfdcad8a3daab413ff30c.jpg,18_211_205_5_16_jpg.rf.bf75a638c36cfdcad8a3daab413ff30c.npz,False,label_problem,manual_label_fix_needed,2,label_problem,N,N
18_211_205_7_11_jpg.rf.c8be159c788fd072b5446c080ad28528.jpg,18_211_205_7_11_jpg.rf.c8be159c788fd072b5446c080ad28528.npz,False,label_problem,manual_label_fix_needed,1,label_problem,N,N
18_211_205_7_12_jpg.rf.8c92cb9a4fe031c99f0c387c55e920e7.jpg,18_211_205_7_12_jpg.rf.8c92cb9a4fe031c99f0c387c55e920e7.npz,False,excluded,manual_exclude_eval,2,exclude_eval|label_problem,N,N|Y
18_211_Masson_205_110_82_jpg.rf.9d0a6e21bf0890d9e2042c4c57225005.jpg,18_211_Masson_205_110_82_jpg.rf.9d0a6e21bf0890d9e2042c4c57225005.npz,False,excluded,manual_exclude_eval,2,exclude_eval|model_error,N|Y,N
18_211_Masson_205_111_11_jpg.rf.7ba64ac64c3cdaf10077a8159b26a06d.jpg,18_211_Masson_205_111_11_jpg.rf.7ba64ac64c3cdaf10077a8159b26a06d.npz,False,excluded,manual_exclude_eval,2,exclude_eval|label_problem,N|Y,N
18_211_Masson_205_111_30_jpg.rf.7de7985bf4873c45635a173331d08769.jpg,18_211_Masson_205_111_30_jpg.rf.7de7985bf4873c45635a173331d08769.npz,False,excluded,manual_exclude_eval,2,exclude_eval|model_error,N|Y,N|Y
18_211_Masson_205_38_84_jpg.rf.509a2761242e8cace996363a8ff4a1d6.jpg,18_211_Masson_205_38_84_jpg.rf.509a2761242e8cace996363a8ff4a1d6.npz,False,label_problem,manual_label_fix_needed,1,label_problem,N,Y
18_211_Masson_205_39_52_jpg.rf.71e2fdd65ac5f70803bae820733f335a.jpg,18_211_Masson_205_39_52_jpg.rf.71e2fdd65ac5f70803bae820733f335a.npz,False,excluded,manual_exclude_eval,2,exclude_eval|model_error,N|Y,N
18_211_Masson_208_100_82_jpg.rf.ec616ab18fc7229dd018e252a412ea7a.jpg,18_211_Masson_208_100_82_jpg.rf.ec616ab18fc7229dd018e252a412ea7a.npz,False,label_problem,manual_label_fix_needed,2,label_problem|model_error,Y,N
18_211_Masson_208_6_19_jpg.rf.99fad3748098aec92bfe5b26082680e5.jpg,18_211_Masson_208_6_19_jpg.rf.99fad3748098aec92bfe5b26082680e5.npz,False,label_problem,manual_label_fix_needed,2,label_problem,N,N|Y
18_217_116_55_6_jpg.rf.232e013e40d23ef908ea74d3ec2fd805.jpg,18_217_116_55_6_jpg.rf.232e013e40d23ef908ea74d3ec2fd805.npz,False,label_problem,manual_label_fix_needed,2,label_problem,N,Y
18_217_217_45_24_jpg.rf.19d20d929704ca3c2cfa4024da3a27d4.jpg,18_217_217_45_24_jpg.rf.19d20d929704ca3c2cfa4024da3a27d4.npz,False,excluded,manual_exclude_eval,2,exclude_eval|label_problem,N,N
18_217_217_51_34_jpg.rf.0cbbda9693b4bcd8f357dcb1814b5589.jpg,18_217_217_51_34_jpg.rf.0cbbda9693b4bcd8f357dcb1814b5589.npz,False,excluded,manual_exclude_eval,2,exclude_eval,N,N
18_217_217_54_29_jpg.rf.4a9f56f446c32da9ecbd3065f039177f.jpg,18_217_217_54_29_jpg.rf.4a9f56f446c32da9ecbd3065f039177f.npz,False,label_problem,manual_label_fix_needed,2,label_problem|model_error,N|Y,N
18_217_217_55_23_jpg.rf.974e159066bb398b14dcac6ae662f2f0.jpg,18_217_217_55_23_jpg.rf.974e159066bb398b14dcac6ae662f2f0.npz,False,excluded,manual_exclude_eval,2,exclude_eval,N,N
18_217_217_57_2_jpg.rf.15a9f44f3a7d6b8ac4a0be06e9aed387.jpg,18_217_217_57_2_jpg.rf.15a9f44f3a7d6b8ac4a0be06e9aed387.npz,False,excluded,manual_exclude_eval,2,exclude_eval,N,N
18_217_217_61_27_jpg.rf.b3c0adb19d25f89036e0a6dc746efd24.jpg,18_217_217_61_27_jpg.rf.b3c0adb19d25f89036e0a6dc746efd24.npz,False,excluded,manual_exclude_eval,1,exclude_eval,N,N
18_217_217_64_8_jpg.rf.2346b57fe5cdee5bb0ec36d84d4147a4.jpg,18_217_217_64_8_jpg.rf.2346b57fe5cdee5bb0ec36d84d4147a4.npz,False,excluded,manual_exclude_eval,2,exclude_eval|model_error,N|Y,N
18_217_218_52_33_jpg.rf.8a38c3573034896f56192b5bc2ff7a6a.jpg,18_217_218_52_33_jpg.rf.8a38c3573034896f56192b5bc2ff7a6a.npz,False,excluded,manual_exclude_eval,2,exclude_eval,N,N
18_217_218_55_25_jpg.rf.13dfb199f9f32127fd1690aa97aca9d2.jpg,18_217_218_55_25_jpg.rf.13dfb199f9f32127fd1690aa97aca9d2.npz,False,excluded,manual_exclude_eval,1,exclude_eval,N,N
18_217_218_56_18_jpg.rf.0bdb38e5e64ac8243f62e3df3b3add0d.jpg,18_217_218_56_18_jpg.rf.0bdb38e5e64ac8243f62e3df3b3add0d.npz,False,excluded,manual_exclude_eval,1,exclude_eval,N,N
