sample_index,image_file,original_overall_dice,original_macro_class_dice,ignore_class_macro_dice,original_overall_jaccard,original_macro_class_jaccard,ignore_class_macro_jaccard
703,16_224_604_90_60_jpg.rf.36c065f49836810209158d3afc3d3719.jpg,4.556639093822312e-11,0.2500000298023224,0.3333333809701108,4.556639093822312e-11,0.2500000298023224,0.3333333809701108
473,207_1_11_2_jpg.rf.c058fd0e57d4c84285f02db6fb12c000.jpg,0.8575972318649292,0.725231409072876,0.6336418591160783,0.750696063041687,0.7049282789230347,0.606570999048075
325,17_228_801_70_62_jpg.rf.fe798a2ccefa9dd7d284550e08740227.jpg,0.8485553860664368,0.7358318567276001,0.647775789200948,0.7369484901428223,0.7231834530830383,0.630911251008199
640,301_1_8_21_jpg.rf.a85b93a54435b6521e51d3e2ecc2beb1.jpg,2.770543516827928e-11,0.75,0.6666666666759018,2.770543516827928e-11,0.75,0.6666666666759018
377,19_212_E1202_17_8_jpg.rf.9e7b4a760b91e590511affcac37f803d.jpg,3.165859241427427e-11,0.5,0.6666666666775842,3.165859241427427e-11,0.5,0.6666666666775842
662,201_4_17_30_jpg.rf.0e9c0c3d5ac9b736e2bb3778417cadec.jpg,3.348849669793097e-11,0.75,0.6666666666778295,3.348849669793097e-11,0.75,0.6666666666778295
167,201_6_12_23_jpg.rf.d39e01147bd7597e82ce6ee8998d49d5.jpg,4.1066074152329435e-11,0.75,0.6666666666803553,4.1066074152329435e-11,0.75,0.6666666666803553
210,18_228_Masson_207_33_21_jpg.rf.fa459fb908f502b94970b1867b4321fd.jpg,3.813591803458749e-11,0.5,0.6666666666854417,3.813591803458749e-11,0.5,0.6666666666854417
170,17_228_801_92_39_jpg.rf.72d28916f76dc73170afc885f59f0786.jpg,5.897617116890075e-11,0.75,0.6666666666863253,5.897617116890075e-11,0.75,0.6666666666863253
385,18_236_203_78_40_jpg.rf.ca3a6efee503bbd283ca8cdf848de145.jpg,6.131208041271208e-11,0.75,0.6666666666871041,6.131208041271208e-11,0.75,0.6666666666871041
679,17_228_801_98_54_jpg.rf.8ebe0185f05300a712afcec4033fed36.jpg,8.037939064342581e-11,0.75,0.6666666666934598,8.037939064342581e-11,0.75,0.6666666666934598
177,201_9_6_12_jpg.rf.ed85619ca206aab38c8bed4f370449cb.jpg,9.225943620183585e-11,0.75,0.6666666666974198,9.225943620183585e-11,0.75,0.6666666666974198
351,202_2_16_35_jpg.rf.6af83252894f02e88e53866e17951d98.jpg,9.989012395017483e-11,0.75,0.6666666666999633,9.989012395017483e-11,0.75,0.6666666666999633
735,15_242_208_32_9_jpg.rf.0e39eaba59504ed99549fc6b45c89bc2.jpg,1.0094892283207813e-10,0.75,0.6666666667003163,1.0094892283207813e-10,0.75,0.6666666667003163
88,18_219_208_49_21_jpg.rf.758f8a1ddb3ed57e97a0f14e9d262981.jpg,8.27472049214073e-11,0.5,0.6666666667032605,8.27472049214073e-11,0.5,0.6666666667032605
