sample_index,image_file,original_overall_dice,original_macro_class_dice,ignore_class_macro_dice,original_overall_jaccard,original_macro_class_jaccard,ignore_class_macro_jaccard
325,17_228_801_70_62_jpg.rf.fe798a2ccefa9dd7d284550e08740227.jpg,0.9119484424591064,0.7336611747741699,0.6448816065440764,0.8381482362747192,0.7193270325660706,0.6257693970650623
441,201_3_22_52_jpg.rf.a0a0484c47c5cf11c5e1d34d2e5da7b8.jpg,2.390857303802285e-11,0.75,0.6666666666746361,2.390857303802285e-11,0.75,0.6666666666746361
662,201_4_17_30_jpg.rf.0e9c0c3d5ac9b736e2bb3778417cadec.jpg,3.392015140990523e-11,0.75,0.6666666666779734,3.392015140990523e-11,0.75,0.6666666666779734
377,19_212_E1202_17_8_jpg.rf.9e7b4a760b91e590511affcac37f803d.jpg,3.439854304176926e-11,0.75,0.6666666666781329,3.439854304176926e-11,0.75,0.6666666666781329
640,301_1_8_21_jpg.rf.a85b93a54435b6521e51d3e2ecc2beb1.jpg,3.733293535423954e-11,0.75,0.666666666679111,3.733293535423954e-11,0.75,0.666666666679111
703,16_224_604_90_60_jpg.rf.36c065f49836810209158d3afc3d3719.jpg,4.518957083532449e-11,0.5,0.6666666666844047,4.518957083532449e-11,0.5,0.6666666666844047
210,18_228_Masson_207_33_21_jpg.rf.fa459fb908f502b94970b1867b4321fd.jpg,3.837593090527669e-11,0.5,0.6666666666856168,3.837593090527669e-11,0.5,0.6666666666856168
170,17_228_801_92_39_jpg.rf.72d28916f76dc73170afc885f59f0786.jpg,6.03318228709071e-11,0.75,0.6666666666867773,6.03318228709071e-11,0.75,0.6666666666867773
385,18_236_203_78_40_jpg.rf.ca3a6efee503bbd283ca8cdf848de145.jpg,6.350819176104139e-11,0.75,0.666666666687836,6.350819176104139e-11,0.75,0.666666666687836
679,17_228_801_98_54_jpg.rf.8ebe0185f05300a712afcec4033fed36.jpg,8.037939064342581e-11,0.75,0.6666666666934598,8.037939064342581e-11,0.75,0.6666666666934598
735,15_242_208_32_9_jpg.rf.0e39eaba59504ed99549fc6b45c89bc2.jpg,1.006542557635548e-10,0.75,0.6666666667002181,1.006542557635548e-10,0.75,0.6666666667002181
430,206_4_21_24_jpg.rf.3311958c84e32f4e25261561619297fb.jpg,1.1610356426272617e-10,0.75,0.6666666667053679,1.1610356426272617e-10,0.75,0.6666666667053679
515,18_237_201_54_23_jpg.rf.ea40bdb839fb751855303f63a8799345.jpg,1.390047243976511e-10,0.75,0.6666666667130016,1.390047243976511e-10,0.75,0.6666666667130016
338,15_242_212_21_18_jpg.rf.4ae76912c424e7d0af66547c399bdec2.jpg,1.3923698305440269e-10,0.75,0.666666666713079,1.3923698305440269e-10,0.75,0.666666666713079
647,16_253_308_22_4_jpg.rf.ef9c649ffcc6a336a384d207682ed7b8.jpg,1.470588234520065e-10,0.75,0.6666666667156863,1.470588234520065e-10,0.75,0.6666666667156863
660,16_256_202_21_13_jpg.rf.201efadecc0e06839292fd761b6639ff.jpg,1.477759720147631e-10,0.75,0.6666666667159253,1.477759720147631e-10,0.75,0.6666666667159253
433,15_242_208_19_8_jpg.rf.5fb77c12e1beabb429d523bf5a166be1.jpg,1.5571473277464776e-10,0.75,0.6666666667185716,1.5571473277464776e-10,0.75,0.6666666667185716
111,19_212_E1202_20_3_jpg.rf.291a527581aa38d11fa1bd33646a1b46.jpg,1.5644555095839507e-10,0.75,0.6666666667188151,1.5644555095839507e-10,0.75,0.6666666667188151
95,15_242_212_17_7_jpg.rf.8f8295a83cf29f3273b6de9443c7840a.jpg,3.124999981007903e-10,0.75,0.6666666667708333,3.124999981007903e-10,0.75,0.6666666667708333
174,18_211_205_6_15_jpg.rf.537f45cc11c8485a5597bf95c8a72dae.jpg,3.2679739470076186e-10,0.75,0.6666666667755992,3.2679739470076186e-10,0.75,0.6666666667755992
785,15_242_208_18_11_jpg.rf.e0282f1843d979a57b1d6aa2140139f6.jpg,3.3046926306568025e-10,0.75,0.6666666667768231,3.3046926306568025e-10,0.75,0.6666666667768231
495,18_219_208_47_23_jpg.rf.d810af158793a9a6def617ab06576dd3.jpg,1.4585764540608892e-10,0.5,0.6666666671099291,1.4585764540608892e-10,0.5,0.6666666671099291
149,16_253_308_34_4_jpg.rf.c1487d1c8a92bde85994cfc673ce448b.jpg,0.0005145025788806379,0.7501286268234253,0.6668381675262935,0.000257317500654608,0.7500643730163574,0.6667524391668849
57,18_211_206_23_24_jpg.rf.98a604c3c6f7208d5c71607f96eb6f8f.jpg,0.05821417272090912,0.7645535469055176,0.6860713909069697,0.029979707673192024,0.7574949264526367,0.6766599025577307
