"name","type","path","last_write_time","file_count","size_bytes","size_mb"
"B_focal_loss","run_dir","E:\project\ORO\runsTemp\runsABCtest\logs\B_focal_loss","2026-05-25 08:50:08","4","23101","0.022"
"B_lr_step","run_dir","E:\project\ORO\runsTemp\runsABCtest\logs\B_lr_step","2026-05-25 08:50:21","4","30986","0.03"
"B_mild_aug","run_dir","E:\project\ORO\runsTemp\runsABCtest\logs\B_mild_aug","2026-05-25 08:50:35","4","30991","0.03"
"B_strong_aug","run_dir","E:\project\ORO\runsTemp\runsABCtest\logs\B_strong_aug","2026-05-25 08:50:49","4","30991","0.03"
"B_combined_mild_aug_150","run_dir","E:\project\ORO\runsTemp\runsABCtest\logs\B_combined_mild_aug_150","2026-05-25 08:51:04","4","36778","0.035"
"C_curriculum_mild_to_moderate","run_dir","E:\project\ORO\runsTemp\runsABCtest\logs\C_curriculum_mild_to_moderate","2026-05-25 08:53:03","4","57538","0.055"
"A_plain_baseline","run_dir","E:\project\ORO\runsTemp\runsABCtest\logs\A_plain_baseline","2026-05-25 09:18:37","6","24095","0.023"
"C_curriculum_mild_to_moderate_l04","run_dir","E:\project\ORO\runsTemp\runsABCtest\logs\C_curriculum_mild_to_moderate_l04","2026-05-26 09:14:59","3","52479","0.05"
"C_curriculum_mild_to_moderate_l02_2","run_dir","E:\project\ORO\runsTemp\runsABCtest\logs\C_curriculum_mild_to_moderate_l02_2","2026-05-26 09:15:29","2","3303","0.003"
"C_curriculum_mild_to_moderate_l02_1","run_dir","E:\project\ORO\runsTemp\runsABCtest\logs\C_curriculum_mild_to_moderate_l02_1","2026-05-26 09:16:09","3","49203","0.047"
"C_curriculum_mild_to_moderate_l06","run_dir","E:\project\ORO\runsTemp\runsABCtest\logs\C_curriculum_mild_to_moderate_l06","2026-05-26 09:16:36","4","53938","0.051"
"C_adaptive_l06","run_dir","E:\project\ORO\runsTemp\runsABCtest\logs\C_adaptive_l06","2026-05-26 19:42:34","5","45296973","43.199"
"C_adaptive_l045_loose","run_dir","E:\project\ORO\runsTemp\runsABCtest\logs\C_adaptive_l045_loose","2026-05-27 21:31:43","5","41199885","39.291"
"C_l035_ramp35","run_dir","E:\project\ORO\runsTemp\runsABCtest\logs\C_l035_ramp35","2026-05-27 21:31:48","5","41109207","39.205"
"C_adaptive_l06_balanced","run_dir","E:\project\ORO\runsTemp\runsABCtest\logs\C_adaptive_l06_balanced","2026-05-29 22:31:52","7","45167362","43.075"
"B_combined_loss","run_dir","E:\project\ORO\runsTemp\runsABCtest\logs\B_combined_loss","2026-05-29 22:31:59","4","24153","0.023"
"C_l04_ramp35_seed43","run_dir","E:\project\ORO\runsTemp\runsABCtest\logs\C_l04_ramp35_seed43","2026-05-29 22:32:22","7","37358794","35.628"
"C_adaptive_l06_loose","run_dir","E:\project\ORO\runsTemp\runsABCtest\logs\C_adaptive_l06_loose","2026-05-29 22:32:27","7","43266640","41.262"
"C_l04_ramp35_scale075","run_dir","E:\project\ORO\runsTemp\runsABCtest\logs\C_l04_ramp35_scale075","2026-05-29 22:32:34","7","77704547","74.105"
"C_scale075_adaptive_l06_loose","run_dir","E:\project\ORO\runsTemp\runsABCtest\logs\C_scale075_adaptive_l06_loose","2026-06-01 17:38:55","8","85752529","81.78"
"C_l04_ramp35_scale075_bs24","run_dir","E:\project\ORO\runsTemp\runsABCtest\logs\C_l04_ramp35_scale075_bs24","2026-06-01 17:39:02","10","79799052","76.102"
