"run_name","run_start_time","run_end_time","dataset_train","model_architecture","encoder_name","scale_factor","class_weights","metric_ignore_classes","best_epoch","completed_epochs","stopped_early","best_val_dice","best_val_dice_ignore_classes","final_val_dice","final_val_dice_ignore_classes","test_dice","test_dice_ignore_classes","test_samples","test_tta","test_img_dir"
"P_smp_resnet34_cls2w125_os15_tta_20260719_221021","2026-07-19 22:12:03","2026-07-20 00:33:47",,"smp_unet","resnet34","0.75","1;1;1.25;1","","91","110","False","0.7679785466194153",,"0.7662939274311066",,,,,,""
"P_smp_resnet34_cls2w125_os15_tta_20260720_110418","2026-07-20 11:06:01","2026-07-20 12:36:10",,"smp_unet","resnet34","0.75","1;1;1.25;1","","44","70","True","0.7630069577693939",,"0.7491990125179291",,,,,,""
"P_smp_resnet34_cls2w10_os15_20260720_214610","2026-07-20 21:47:52","2026-07-21 00:00:04",,"smp_unet","resnet34","0.75","1;1;1;1","","92","110","False","0.7623367881774903",,"0.7592938983440399",,,,,,""
"P_smp_resnet34_cls2w10_os15_20260721_092621","2026-07-21 09:28:03","2026-07-21 11:39:36",,"smp_unet","resnet34","0.75","1;1;1;1","","108","110","False","0.7591602230072021",,"0.7571091592311859",,,,,,""
"P_smp_resnet34_cls2w125_os15_long140_tmax100_20260721_143943","2026-07-21 14:41:25","2026-07-21 17:21:32",,"smp_unet","resnet34","0.75","1;1;1.25;1","","98","133","True","0.7685117876529693",,"0.7584235012531281",,,,,,""
"P_smp_resnet34_cls2w125_os15_wd1e3_20260721_212945","2026-07-21 21:31:27","2026-07-21 23:43:13",,"smp_unet","resnet34","0.75","1;1;1.25;1","","100","110","False","0.7638076651096344",,"0.7619637334346772",,,,,,""
"P_smp_resnet34_cls2w125_os15_aug05_20260722_014438","2026-07-22 01:46:20","2026-07-22 03:58:28",,"smp_unet","resnet34","0.75","1;1;1.25;1","","94","110","False","0.7648620343208313",,"0.7623736584186553",,,,,,""
"P_smp_resnet50_cls2w125_os15_20260722_094850","2026-07-22 09:50:32","2026-07-22 12:59:20",,"smp_unet","resnet50","0.75","1;1;1.25;1","","108","110","False","0.7583418257200896",,"0.7567748365117543",,,,,,""
"P_smp_resnet34_cls2w125_os15_plateau_20260722_225526","2026-07-22 22:57:08","2026-07-23 01:20:54",,"smp_unet","resnet34","0.75","1;1;1.25;1","","116","120","False","0.7651626324653625",,"0.7630027627944946",,,,,,""
"P_smp_resnet34_cls2w125_os15_focaldice73_20260723_100936","2026-07-23 10:11:18","2026-07-23 12:00:10",,"smp_unet","resnet34","0.75","1;1;1.25;1","","64","89","True","0.7606375396251679",,"0.7581417167186737",,,,,,""
"P_smp_resnet34_cls2w125_os15_focaldice73_20260723_130047","2026-07-23 13:02:28","2026-07-23 15:29:34",,"smp_unet","resnet34","0.75","1;1;1.25;1","","115","120","False","0.7600428533554077",,"0.7585600626468658",,,,,,""
"P_smp_resnet34_cls2w125_os15_focaldice55_20260723_153145","2026-07-23 15:33:27","2026-07-23 18:00:34",,"smp_unet","resnet34","0.75","1;1;1.25;1","","115","120","False","0.7595197558403015",,"0.757793242931366",,,,,,""
"P_smp_resnet34_cls2w125_os15_purefocal_20260723_191142","2026-07-23 19:13:24","2026-07-23 21:13:53",,"smp_unet","resnet34","0.75","1;1;1.25;1","","100","100","False","0.7206175553798676",,"0.7206175553798676",,,,,,""
"P_smp_resnet34_cls2w125_os15_lr5e5_20260723_213605","2026-07-23 21:37:47","2026-07-23 23:19:52",,"smp_unet","resnet34","0.75","1;1;1.25;1","","68","86","True","0.7608423674106598",,"0.7543289840221405",,,,,,""
"P_smp_resnet34_cls2w125_os15_fullres_bs8_20260723_233709","2026-07-23 23:38:51","2026-07-24 03:24:13",,"smp_unet","resnet34","1","1;1;1.25;1","","99","110","False","0.7646769207715988",,"0.7626858541369438",,,,,,""
"P_smp_resnet34_cls2w125_os15_focal_fullres_plateau_20260724_090341","2026-07-24 09:05:23","2026-07-24 12:47:40",,"smp_unet","resnet34","1","1;1;1.25;1","","81","106","True","0.7588032639026642",,"0.7557122868299484",,,,,,""
"P_smp_resnet34_cls2w125_os15_tta_long140_tmax100_20260724_161215","2026-07-24 16:13:57","2026-07-24 19:14:34",,"smp_unet","resnet34","0.75","1;1;1.25;1","","114","140","False","0.7726162075996399",,"0.7612221622467041",,,,,,""
"R_fixed_smp_resnet34_scale075_cls2w125_20260727_194004","2026-07-27 19:41:46","2026-07-27 21:16:56",,"smp_unet","resnet34","0.75","1;1;1.25;1","2","25","80","True","0.6010759318784132","0.7186454579991809","0.5880877224065489","0.7181599478600389","0.568118961206798","0.6976355252594784","459","none","data/test/images"
"R_fixed_smp_resnet34_scale075_cls2w05_20260727_211702","2026-07-27 21:18:43","2026-07-27 22:55:55",,"smp_unet","resnet34","0.75","1;1;0.5;1","2","57","82","True","0.6040847180253368","0.7260767671011262","0.5735752718933558","0.7243671326313988","0.5821239100448017","0.7153037827590416","459","none","data/test/images"
"U_A_20260204_anchor_scale075_cls2w10_20260728_223444","2026-07-28 22:35:59","2026-07-28 23:14:25",,"smp_unet","resnet34","0.75","1;1;1;1","2","26","80","True","0.566475205719471","0.7063727194070816","0.5325129151344299","0.6700005835294723","0.542973855137825","0.6945197474956513","400","none","../data/20260204111923/test/images"
"U_B_385liver_anchor_scale075_cls2w10_20260728_231431","2026-07-28 23:15:47","2026-07-29 00:05:59",,"smp_unet","resnet34","0.75","1;1;1;1","2","22","80","True","0.8118859463267856","0.8580956856409708","0.8002482520209419","0.8527058959007263","0.8535558879375458","0.8916257619857788","59","none","../data/385-liver.v1i.yolov8/test/images"
"U_A_20260204_fullres_cls2w10_20260729_000602","2026-07-29 00:07:18","2026-07-29 01:11:32",,"smp_unet","resnet34","1","1;1;1;1","2","22","80","True","0.5565003837645054","0.6956438529491424","0.5111301627010107","0.6588989356160164","0.533090737760067","0.6734878635406494","400","none","../data/20260204111923/test/images"
"U_B_385liver_fullres_cls2w10_20260729_011138","2026-07-29 01:12:54","2026-07-29 02:40:14",,"smp_unet","resnet34","1","1;1;1;1","2","57","82","True","0.8093228936195374","0.8574838075372908","0.7966106600231595","0.8441242476304373","0.8583319708704948","0.8808493241667747","59","none","../data/385-liver.v1i.yolov8/test/images"
