split,image_file,mask_file,keep,status,review_records,manual_error_types,gt_reliable_values,suggest_fix_label_values,notes
train,15_242_208_32_9_jpg.rf.0e39eaba59504ed99549fc6b45c89bc2.jpg,15_242_208_32_9_jpg.rf.0e39eaba59504ed99549fc6b45c89bc2.npz,False,excluded_label_problem,1,A,N,Y,漏标纤维化
train,16_224_101_110_46_jpg.rf.d81abddbf53d16a14492824d98ee6c69.jpg,16_224_101_110_46_jpg.rf.d81abddbf53d16a14492824d98ee6c69.npz,False,excluded_label_problem,2,A,N,Y,炎症区域不典型
train,16_224_603_160_41_jpg.rf.16d345140514dc1a1af7b2fa01bb9539.jpg,16_224_603_160_41_jpg.rf.16d345140514dc1a1af7b2fa01bb9539.npz,False,excluded_label_problem,2,A,N,Y,炎症不典型，纤维化典型
train,16_224_603_160_51_jpg.rf.8bd1b0196d14aab81ab1996f708b89d9.jpg,16_224_603_160_51_jpg.rf.8bd1b0196d14aab81ab1996f708b89d9.npz,False,excluded_label_problem,2,A,N,Y,炎症区域不典型
train,16_224_604_90_60_jpg.rf.36c065f49836810209158d3afc3d3719.jpg,16_224_604_90_60_jpg.rf.36c065f49836810209158d3afc3d3719.npz,False,excluded_label_problem,1,A,Y,Y,气球样变漏标
train,16_224_606_183_17_jpg.rf.9dbff09ae04884e51ba929474514b246.jpg,16_224_606_183_17_jpg.rf.9dbff09ae04884e51ba929474514b246.npz,False,excluded_label_problem,3,A,N,Y,标注未标全
train,16_256_202_21_13_jpg.rf.201efadecc0e06839292fd761b6639ff.jpg,16_256_202_21_13_jpg.rf.201efadecc0e06839292fd761b6639ff.npz,False,excluded_label_problem,1,A,N,Y,模型标注位置不典型，漏标，建议剔除
train,17_209_102_6_26_jpg.rf.8474901f98f2d28915a3bcf1363dfac2.jpg,17_209_102_6_26_jpg.rf.8474901f98f2d28915a3bcf1363dfac2.npz,False,excluded_label_problem,2,A,N,Y,炎症区域不典型
train,17_209_102_6_30_jpg.rf.ec7a893c9423a9fe8922f3e4ec021293.jpg,17_209_102_6_30_jpg.rf.ec7a893c9423a9fe8922f3e4ec021293.npz,False,excluded_label_problem,2,A,N,Y,炎症区域不典型
train,17_209_102_7_20_jpg.rf.4a5f66fe8e059247765f7a15a2c05d1a.jpg,17_209_102_7_20_jpg.rf.4a5f66fe8e059247765f7a15a2c05d1a.npz,False,excluded_label_problem,3,A,N,Y,炎症区域不典型
