split,image_file,mask_file,keep,status,review_records,manual_error_types,gt_reliable_values,suggest_fix_label_values,notes
train,15_242_208_19_8_jpg.rf.5fb77c12e1beabb429d523bf5a166be1.jpg,15_242_208_19_8_jpg.rf.5fb77c12e1beabb429d523bf5a166be1.npz,True,reviewed_kept,1,,,,
train,15_242_211_19_12_jpg.rf.24346c158d307b8abd6a8a8c1806971c.jpg,15_242_211_19_12_jpg.rf.24346c158d307b8abd6a8a8c1806971c.npz,True,reviewed_kept,1,,,,
train,15_242_212_20_16_jpg.rf.8b5cfd09b2f702ff24af05445113e1e6.jpg,15_242_212_20_16_jpg.rf.8b5cfd09b2f702ff24af05445113e1e6.npz,True,reviewed_kept,1,,,,
train,15_242_212_21_18_jpg.rf.4ae76912c424e7d0af66547c399bdec2.jpg,15_242_212_21_18_jpg.rf.4ae76912c424e7d0af66547c399bdec2.npz,True,reviewed_kept,1,B,Y,N,模型检出能力不足
train,16_224_603_158_40_jpg.rf.e3d83becffaa7e5ec17a3807b0e68d55.jpg,16_224_603_158_40_jpg.rf.e3d83becffaa7e5ec17a3807b0e68d55.npz,True,reviewed_kept,1,,,,
train,16_224_603_160_52_jpg.rf.4330192f0b514c6eba2b75f6827f4138.jpg,16_224_603_160_52_jpg.rf.4330192f0b514c6eba2b75f6827f4138.npz,True,reviewed_kept,1,,,,
train,16_253_308_22_4_jpg.rf.ef9c649ffcc6a336a384d207682ed7b8.jpg,16_253_308_22_4_jpg.rf.ef9c649ffcc6a336a384d207682ed7b8.npz,True,reviewed_kept,1,B,Y,N,模型检出能力不足
train,16_253_308_34_4_jpg.rf.c1487d1c8a92bde85994cfc673ce448b.jpg,16_253_308_34_4_jpg.rf.c1487d1c8a92bde85994cfc673ce448b.npz,True,reviewed_kept,2,B,Y,N,模型检出能力不足
train,18_211_205_6_15_jpg.rf.537f45cc11c8485a5597bf95c8a72dae.jpg,18_211_205_6_15_jpg.rf.537f45cc11c8485a5597bf95c8a72dae.npz,True,reviewed_kept,1,B,Y,N,模型检出能力不足
train,18_217_217_61_3_jpg.rf.796a92d7705456e2df5f25fd30371603.jpg,18_217_217_61_3_jpg.rf.796a92d7705456e2df5f25fd30371603.npz,True,reviewed_kept,1,,,,
train,18_217_217_62_6_jpg.rf.dd40d309dbb000f607302c82566a2827.jpg,18_217_217_62_6_jpg.rf.dd40d309dbb000f607302c82566a2827.npz,True,reviewed_kept,1,,,,
train,18_217_218_52_19_jpg.rf.da1105a5715869b41a541300b146a345.jpg,18_217_218_52_19_jpg.rf.da1105a5715869b41a541300b146a345.npz,True,reviewed_kept,2,,,,
train,18_217_218_56_9_jpg.rf.114d3c528c981b79debcffcfba265f55.jpg,18_217_218_56_9_jpg.rf.114d3c528c981b79debcffcfba265f55.npz,True,reviewed_kept,1,,,,
train,18_217_218_57_16_jpg.rf.8453040828a61285544f80ab328be522.jpg,18_217_218_57_16_jpg.rf.8453040828a61285544f80ab328be522.npz,True,reviewed_kept,1,,,,
train,18_219_208_50_7_jpg.rf.9c206cc9c51976566adb31964a912234.jpg,18_219_208_50_7_jpg.rf.9c206cc9c51976566adb31964a912234.npz,True,reviewed_kept,2,B,Y,N,模型检出能力不足
train,18_228_Masson_208_74_29_jpg.rf.6d5b52e499204e305cb4e9f832a8b696.jpg,18_228_Masson_208_74_29_jpg.rf.6d5b52e499204e305cb4e9f832a8b696.npz,True,reviewed_kept,1,,,,
train,18_229_Masson_202_114_21_jpg.rf.872a5ff476a33cc073e82272cb705d77.jpg,18_229_Masson_202_114_21_jpg.rf.872a5ff476a33cc073e82272cb705d77.npz,True,reviewed_kept,1,,,,
train,18_229_Masson_202_146_19_jpg.rf.4a0f66f0d2bba68a8c5c5969ce5e110e.jpg,18_229_Masson_202_146_19_jpg.rf.4a0f66f0d2bba68a8c5c5969ce5e110e.npz,True,reviewed_kept,1,,,,
train,18_229_Masson_202_68_44_jpg.rf.bf76a2a0ad4e747e3b17703499c227c0.jpg,18_229_Masson_202_68_44_jpg.rf.bf76a2a0ad4e747e3b17703499c227c0.npz,True,reviewed_kept,1,,,,
