review_group,review_order,image_file,mask_file,tta_overall_dice,no_tta_overall_dice,tta_minus_no_tta,auto_hint,manual_error_type,gt_reliable,prediction_medically_plausible,suggest_fix_label,reviewer,notes,tta_panel_package_path,no_tta_panel_package_path,tta_rank_by_worst,tta_overall_jaccard,no_tta_overall_jaccard,class_0_dice,class_0_jaccard,class_0_fp_pixels,class_0_fn_pixels,class_0_true_pixels,class_0_pred_pixels,class_0_prob_mean,class_1_dice,class_1_jaccard,class_1_fp_pixels,class_1_fn_pixels,class_1_true_pixels,class_1_pred_pixels,class_1_prob_mean,class_2_dice,class_2_jaccard,class_2_fp_pixels,class_2_fn_pixels,class_2_true_pixels,class_2_pred_pixels,class_2_prob_mean,class_3_dice,class_3_jaccard,class_3_fp_pixels,class_3_fn_pixels,class_3_true_pixels,class_3_pred_pixels,class_3_prob_mean,tta_panel_available,no_tta_panel_available
01_tta_worst,1,201_3_22_52_jpg.rf.a0a0484c47c5cf11c5e1d34d2e5da7b8.jpg,201_3_22_52_jpg.rf.a0a0484c47c5cf11c5e1d34d2e5da7b8.npz,2.3908573038022799E-11,0.200987339019775,-0.20098733899999999,D_check_TTA_harm,A,N,Y,Y,,脂肪变部分空泡漏标,E:\project\ORO\runsTemp\manual_review_package_20260724\images\01_tta_worst\001_tta_001_dice_0.0000_201_3_22_52_jpg.rf.a0a0484c47c5cf11c5e1d34d2e5da7b8.jpg,,1,2.3908573038022799E-11,0.11172091960906901,1,1,0,0,0,0,2.8037299999999999E-4,1,1,0,0,0,0,3.5144899999999999E-4,1,1,0,0,0,0,1.7347200000000001E-4,2.3908573038022799E-11,2.3908573038022799E-11,36572,5254,5254,36572,0.15731725096702501,yes,no
01_tta_worst,2,201_4_17_30_jpg.rf.0e9c0c3d5ac9b736e2bb3778417cadec.jpg,201_4_17_30_jpg.rf.0e9c0c3d5ac9b736e2bb3778417cadec.npz,3.3920151409905198E-11,3.3488496697930898E-11,4.3165471197426E-13,A_B_E_check_hard_miss_or_threshold,A,N,N,Y,,脂肪变部分空泡漏标,E:\project\ORO\runsTemp\manual_review_package_20260724\images\01_tta_worst\002_tta_002_dice_0.0000_201_4_17_30_jpg.rf.0e9c0c3d5ac9b736e2bb3778417cadec.jpg,E:\project\ORO\runsTemp\manual_review_package_20260724\images\01_tta_worst\002_no_tta_003_dice_0.0000_201_4_17_30_jpg.rf.0e9c0c3d5ac9b736e2bb3778417cadec.jpg,2,3.3920151409905198E-11,3.3488496697930898E-11,1,1,0,0,0,0,2.9185600000000001E-4,1,1,0,0,0,0,3.5060799999999997E-4,1,1,0,0,0,0,1.7025100000000001E-4,3.3920151409905198E-11,3.3920151409905198E-11,3,29478,29478,3,2.2730138152837701E-2,yes,yes
01_tta_worst,3,19_212_E1202_17_8_jpg.rf.9e7b4a760b91e590511affcac37f803d.jpg,19_212_E1202_17_8_jpg.rf.9e7b4a760b91e590511affcac37f803d.npz,3.43985430417692E-11,3.1658592414274202E-11,2.7399506274949902E-12,A_B_E_check_hard_miss_or_threshold,A,N,N,Y,,标注不典型，漏标炎细胞，脂肪变,E:\project\ORO\runsTemp\manual_review_package_20260724\images\01_tta_worst\003_tta_003_dice_0.0000_19_212_E1202_17_8_jpg.rf.9e7b4a760b91e590511affcac37f803d.jpg,E:\project\ORO\runsTemp\manual_review_package_20260724\images\01_tta_worst\003_no_tta_002_dice_0.0000_19_212_E1202_17_8_jpg.rf.9e7b4a760b91e590511affcac37f803d.jpg,3,3.43985430417692E-11,3.1658592414274202E-11,1,1,0,0,0,0,2.37185E-4,3.43985430417692E-11,3.43985430417692E-11,15505,13566,13566,15505,6.8104102999999999E-2,1,1,0,0,0,0,1.383146E-3,1,1,0,0,0,0,3.7052599999999998E-4,yes,yes
01_tta_worst,4,301_1_8_21_jpg.rf.a85b93a54435b6521e51d3e2ecc2beb1.jpg,301_1_8_21_jpg.rf.a85b93a54435b6521e51d3e2ecc2beb1.npz,3.7332935354239499E-11,2.7705435168279199E-11,9.6275001859602502E-12,A_B_E_check_hard_miss_or_threshold,A,N,Y,Y,,脂肪变部分空泡漏标,E:\project\ORO\runsTemp\manual_review_package_20260724\images\01_tta_worst\004_tta_004_dice_0.0000_301_1_8_21_jpg.rf.a85b93a54435b6521e51d3e2ecc2beb1.jpg,E:\project\ORO\runsTemp\manual_review_package_20260724\images\01_tta_worst\004_no_tta_001_dice_0.0000_301_1_8_21_jpg.rf.a85b93a54435b6521e51d3e2ecc2beb1.jpg,4,3.7332935354239499E-11,2.7705435168279199E-11,1,1,0,0,0,0,2.9369900000000002E-4,1,1,0,0,0,0,3.5806999999999999E-4,1,1,0,0,0,0,1.7429000000000001E-4,3.7332935354239499E-11,3.7332935354239499E-11,16314,10472,10472,16314,8.8670969000000002E-2,yes,yes
01_tta_worst,5,18_228_Masson_207_33_21_jpg.rf.fa459fb908f502b94970b1867b4321fd.jpg,18_228_Masson_207_33_21_jpg.rf.fa459fb908f502b94970b1867b4321fd.npz,3.8375930905276599E-11,3.81359180345874E-11,2.4001287068919897E-13,B_or_C_check_class2,A,N,Y,Y,,炎症不典型，炎细胞？存疑,E:\project\ORO\runsTemp\manual_review_package_20260724\images\01_tta_worst\005_tta_005_dice_0.0000_18_228_Masson_207_33_21_jpg.rf.fa459fb908f502b94970b1867b4321fd.jpg,E:\project\ORO\runsTemp\manual_review_package_20260724\images\01_tta_worst\005_no_tta_004_dice_0.0000_18_228_Masson_207_33_21_jpg.rf.fa459fb908f502b94970b1867b4321fd.jpg,5,3.8375930905276599E-11,3.81359180345874E-11,5.6850482654802102E-11,5.6850482654802102E-11,17590,0,0,17590,7.6672300999999998E-2,1,1,0,0,0,0,3.45924E-4,1.1809163369402799E-10,1.1809163369402799E-10,0,8468,8468,0,2.3373600000000001E-4,1,1,0,0,0,0,4.0043400000000002E-4,yes,yes
01_tta_worst,6,16_224_604_90_60_jpg.rf.36c065f49836810209158d3afc3d3719.jpg,16_224_604_90_60_jpg.rf.36c065f49836810209158d3afc3d3719.npz,4.5189570835324398E-11,4.5566390938223103E-11,-3.7700000000000001E-13,A_B_check_hard_miss,A,Y,N,Y,,气球样变漏标,E:\project\ORO\runsTemp\manual_review_package_20260724\images\01_tta_worst\006_tta_006_dice_0.0000_16_224_604_90_60_jpg.rf.36c065f49836810209158d3afc3d3719.jpg,E:\project\ORO\runsTemp\manual_review_package_20260724\images\01_tta_worst\006_no_tta_006_dice_0.0000_16_224_604_90_60_jpg.rf.36c065f49836810209158d3afc3d3719.jpg,6,4.5189570835324398E-11,4.5566390938223103E-11,5.3214134487777898E-11,5.3214134487777898E-11,0,18792,18792,0,2.8876299999999999E-4,1,1,0,0,0,0,7.3079299999999998E-4,2.9967037185052401E-10,2.9967037185052401E-10,3337,0,0,3337,1.5731310471892301E-2,1,1,0,0,0,0,3.4737599999999999E-4,yes,yes
01_tta_worst,7,17_228_801_92_39_jpg.rf.72d28916f76dc73170afc885f59f0786.jpg,17_228_801_92_39_jpg.rf.72d28916f76dc73170afc885f59f0786.npz,6.0331822870907104E-11,5.8976171168900697E-11,1.35565170200635E-12,A_B_E_check_hard_miss_or_threshold,A,N,Y,Y,,模型判断正确，人工标注错误,E:\project\ORO\runsTemp\manual_review_package_20260724\images\01_tta_worst\007_tta_007_dice_0.0000_17_228_801_92_39_jpg.rf.72d28916f76dc73170afc885f59f0786.jpg,E:\project\ORO\runsTemp\manual_review_package_20260724\images\01_tta_worst\007_no_tta_009_dice_0.0000_17_228_801_92_39_jpg.rf.72d28916f76dc73170afc885f59f0786.jpg,7,6.0331822870907104E-11,5.8976171168900697E-11,6.0331822870907104E-11,6.0331822870907104E-11,6900,9675,9675,6900,3.1177056953310901E-2,1,1,0,0,0,0,3.69291E-4,1,1,0,0,0,0,1.9116399999999999E-4,1,1,0,0,0,0,5.8064E-4,yes,yes
01_tta_worst,8,18_217_218_52_20_jpg.rf.1af96ac9534792faefad1703f33057e3.jpg,18_217_218_52_20_jpg.rf.1af96ac9534792faefad1703f33057e3.npz,6.1678898100048204E-11,7.1767807000000003E-2,-7.1767807000000003E-2,B_or_C_check_class2,A,N,Y,Y,,炎症不典型,E:\project\ORO\runsTemp\manual_review_package_20260724\images\01_tta_worst\008_tta_008_dice_0.0000_18_217_218_52_20_jpg.rf.1af96ac9534792faefad1703f33057e3.jpg,E:\project\ORO\runsTemp\manual_review_package_20260724\images\01_tta_worst\008_no_tta_041_dice_0.0718_18_217_218_52_20_jpg.rf.1af96ac9534792faefad1703f33057e3.jpg,8,6.1678898100048204E-11,3.7219487000000002E-2,1,1,0,0,0,0,2.45004E-4,1,1,0,0,0,0,5.0407900000000005E-4,6.1678898100048204E-11,6.1678898100048204E-11,7025,9188,9188,7025,3.4049692999999999E-2,1,1,0,0,0,0,4.1326500000000001E-4,yes,yes
01_tta_worst,9,18_236_203_78_40_jpg.rf.ca3a6efee503bbd283ca8cdf848de145.jpg,18_236_203_78_40_jpg.rf.ca3a6efee503bbd283ca8cdf848de145.npz,6.3508191761041298E-11,6.1312080412712E-11,2.19611134832931E-12,A_B_E_check_hard_miss_or_threshold,A,Y,Y,Y,,模型判断正确，GT漏标，标注结构不典型,E:\project\ORO\runsTemp\manual_review_package_20260724\images\01_tta_worst\009_tta_009_dice_0.0000_18_236_203_78_40_jpg.rf.ca3a6efee503bbd283ca8cdf848de145.jpg,E:\project\ORO\runsTemp\manual_review_package_20260724\images\01_tta_worst\009_no_tta_010_dice_0.0000_18_236_203_78_40_jpg.rf.ca3a6efee503bbd283ca8cdf848de145.jpg,9,6.3508191761041298E-11,6.1312080412712E-11,6.3508191761041298E-11,6.3508191761041298E-11,8204,7542,7542,8204,3.5836502999999999E-2,1,1,0,0,0,0,3.3377199999999997E-4,1,1,0,0,0,0,2.0160999999999999E-4,1,1,0,0,0,0,3.8166699999999998E-4,yes,yes
01_tta_worst,10,18_217_218_54_22_jpg.rf.5317b45b2825f45463bcf0b45ef0c9a6.jpg,18_217_218_54_22_jpg.rf.5317b45b2825f45463bcf0b45ef0c9a6.npz,6.8166326749885503E-11,1.00826777482687E-10,-3.2700000000000001E-11,B_or_C_check_class2,A,N,Y,Y,,炎症不典型,E:\project\ORO\runsTemp\manual_review_package_20260724\images\01_tta_worst\010_tta_010_dice_0.0000_18_217_218_54_22_jpg.rf.5317b45b2825f45463bcf0b45ef0c9a6.jpg,E:\project\ORO\runsTemp\manual_review_package_20260724\images\01_tta_worst\010_no_tta_016_dice_0.0000_18_217_218_54_22_jpg.rf.5317b45b2825f45463bcf0b45ef0c9a6.jpg,10,6.8166326749885503E-11,1.00826777482687E-10,1,1,0,0,0,0,2.4474799999999998E-4,1,1,0,0,0,0,5.0032899999999999E-4,6.8166326749885503E-11,6.8166326749885503E-11,6392,8278,8278,6392,3.0316533520817701E-2,1,1,0,0,0,0,3.9789600000000001E-4,yes,yes
